idx;sentence_x;sentiment
2;morrisons book second consecutive quarter of sales growth;0.43
2;the book of the morrison is the second quarter of sales growth .;0.43
2;i 'm a second quarter of sales growth .;0.43
2;morrisons the second consecutive quarter of sales growth .;0.43
2;i 'm running a second consecutive quarter of sales growth .;0.43
2;the morrisons are second , and it 's a quarter of the sale .;0.43
2;i have a second book of sales growth .;0.43
2;where is the use of a quarter of the sale ?;0.43
2;in morrisons book , it is the second quarter of the sale .;0.43
2;here it is the second quarter of sales growth .;0.43
2;if the morrisons are published , it is the second quarter of the sale .;0.43
3;imi posts drop in first-quarter organic revenue, warns on full year;-0.34400000000000003
3;imi posts drop in first-quarter organic lobster warns for full year .;-0.34400000000000003
3;take a drop of imi in first full year .;-0.34400000000000003
3;imi posts drop in first full year .;-0.34400000000000003
3;in front of full year drops in full year .;-0.34400000000000003
3;the number of imi is dropped in the first quarter , and it warns in full year .;-0.34400000000000003
3;i have a imi drop in first full year .;-0.34400000000000003
3;where is the release of imi in first full year ?;-0.34400000000000003
3;in the area of february conditions , it falls in full year .;-0.34400000000000003
3;first the year of imi is in high school .;-0.34400000000000003
3;when you have a year , it 's in full year .;-0.34400000000000003
4;glencore to refinance its short-term debt early, shares rise;0.34
4;glencore is to refinance its short-term debt .;0.34
4;i want to refinance its short-term debt again .;0.34
4;glencore to refinance its short-term debt .;0.34
4;i want to refinance its short-term debt again .;0.34
4;glencore is to refinance its short-term debt again , and it is going to increase it .;0.34
4;i will finance its short-term debt again .;0.34
4;where do you refinance its short-term debt , shares ?;0.34
4;in glencore , it is glencore to refinance its short-term debt .;0.34
4;so he can refinance his short-term debt .;0.34
4;if you want to refinance its short-term debt again , you see .;0.34
5;easyjet attracts more passengers in june but still lags ryanair;0.259
5;june attracts more passengers in june .;0.259
5;i want more passengers in june .;0.259
5;june 's more passengers in june .;0.259
5;while june attracts more passengers in june .;0.259
5;june attracts more passengers in june , but it 's ryanair .;0.259
5;i want a new passenger in june .;0.259
5;where does easyjet attract more passengers in june ?;0.259
5;in june , it attracts more passengers in june .;0.259
5;now june attracts more passengers in june .;0.259
5;when june is more passengers in june , it attracts ryanair .;0.259
6;barclays 'bad bank' chief to step down;-0.231
6;mr. `` bad luck '' to step down .;-0.231
6;get the chief of bank bankning .;-0.231
6;mr. `` bad bankler '' chief to step down .;-0.231
6;how to take down the head of bankland .;-0.231
6;you 're a barclays , and you can do it .;-0.231
6;i want the boss on fire .;-0.231
6;why do you have a head for money ?;-0.231
6;on friday , he 's the chief of staff .;-0.231
6;then he 'll take the lead in charge .;-0.231
6;in order to get the boss , he 'll take the lead .;-0.231
7;bilfinger industrial services win £100m bp contract extension;0.113
7;bilfinger 100m we win today .;0.113
7;bilgate service force extension .;0.113
7;bilfinger 100m september -RSB- .;0.113
7;i 'm going to take advantage of bilfinger .;0.113
7;bilfinger brake brake will win the contract , and it will extend it .;0.113
7;i will give you 100 m bp .;0.113
7;where do you have an extension ?;0.113
7;for brake i.;0.113
7;also brake i.;0.113
7;if they win bilfinger , it will extend an extension .;0.113
8;bilfinger industrial services win £100m bp contract extension;0.424
8;bilfinger 100m we win today .;0.424
8;bilgate service force extension .;0.424
8;bilfinger 100m september -RSB- .;0.424
8;i 'm going to take advantage of bilfinger .;0.424
8;bilfinger brake brake will win the contract , and it will extend it .;0.424
8;i will give you 100 m bp .;0.424
8;where do you have an extension ?;0.424
8;for brake i.;0.424
8;also brake i.;0.424
8;if they win bilfinger , it will extend an extension .;0.424
9;barclays share price subdued as bank faces fresh forex probe;-0.373
9;barclays share price compared as bank faces fresh forex probe .;-0.373
9;tell barclays share price as bank faces fresh forex probe .;-0.373
9;barclays share price the bank faces fresh forex probe .;-0.373
9;as bank faces fresh forex probe .;-0.373
9;barclays share price is a good thing , and it 's a new probe .;-0.373
9;i have a problem with the number of barclays .;-0.373
9;where do you see if barclays is fresh forex probe ?;-0.373
9;as mr. barclays stock , the bank faces fresh forex probe .;-0.373
9;then mr. barclays said that bank faces fresh forex probe .;-0.373
9;as banking faces fresh forex probe , the bank faces fresh forex probe .;-0.373
10;centrica prepared for takeover approach - chairman;0.111
10;centrica prepared for takeover access - chairman .;0.111
10;i was in charge access - chairman .;0.111
10;emergency access - chairman .;0.111
10;i 'm prepared for takeover access - chairman .;0.111
10;centrica prepared for takeover access , and it was chairman .;0.111
10;i was in takeover mode .;0.111
10;where did centrica take place ?;0.111
10;for takeover access , centrica took place .;0.111
10;first centrica prepared for takeover access .;0.111
10;when centrica prepared for takeover access , it took place .;0.111
11;jim armitage: spare no tears as glencore's bosses are paying such a small price;-0.231
11;mr. armitus : . are no tears of glencorethe 's bosses .;-0.231
11;save no tears of glencorethe 's bosses .;-0.231
11;mr. armitageway .;-0.231
11;if glencorea 's bosses are paying such a small price .;-0.231
11;save no tears of glencorethe 's bosses , and they will pay a small price .;-0.231
11;i have no respect for the tears of glencorethe 's bosses .;-0.231
11;why do n't you have no tears like glencorea 's bosses ?;-0.231
11;for mr. armitageway , you have no tears of glencorea 's bosses .;-0.231
11;maybe he 'll pay no tears of glencorea 's bosses .;-0.231
11;if they pay the price of glencorea 's bosses , they pay a small price .;-0.231
12;barclays, deutsche bank fight to lift profit just got harder;-0.221
12;mr. barclaysone barclaysone , deutsche bank game was profit .;-0.221
12;convince deutsche to raise profit .;-0.221
12;mr. deutsche bank to raise profit .;-0.221
12;i want to get something to raise money .;-0.221
12;mr. barclaysla wants to raise money , and he 's just got money .;-0.221
12;i have a lot to raise money .;-0.221
12;why do n't you have money to raise money ?;-0.221
12;in spanish barclaysone bank , he had profit .;-0.221
12;now mr. deutsche barclaysch had profit .;-0.221
12;when they raise money , they got money .;-0.221
13;kingfisher set to open another 200 screwfix stores;0.541
13;kingfisher set to open another 200 brake stores .;0.541
13;i wanted to open another 200 brake stores .;0.541
13;kingfisher set of 200 brake stores .;0.541
13;i want to open another 200 brake stores .;0.541
13;kingfisher set to open another 200 brake stores , and mr. continued to open the store .;0.541
13;i wanted to open another 200 brake stores .;0.541
13;how did kingfisher prepare to open another 200 brake stores ?;0.541
13;on friday , kingfisher set to open another 200 brake stores .;0.541
13;now kingfisher set to open another 200 brake stores .;0.541
13;when you opened it , mr. decided to open another 200 brake stores .;0.541
14;diageo sales disappoint as currency and comparatives leave bitter taste;-0.545
14;diageo sales fail as currency and comparatives leave bitter taste .;-0.545
14;let sales like currency and others .;-0.545
14;diageo sales as currency and others .;-0.545
14;that diageo sales fail bitter taste .;-0.545
14;diageo sales fail as currency , and comparatives leave bitter taste .;-0.545
14;i have a lot of money and sales .;-0.545
14;how do sales fail as currency and others ?;-0.545
14;as currency and others , they leave bitter taste .;-0.545
14;then diageo sales let bitter taste .;-0.545
14;when diageo sales fail as currency , they leave bitter taste .;-0.545
15;smith & nephew recalls hip-replacement components;-0.522
15;smith & nephew recalls new components .;-0.522
15;smith & nephew personal components .;-0.522
15;smith & nephew .;-0.522
15;if smith & nephew recalls new components .;-0.522
15;smith & nephew recalls new components , and al & al remembers new parts .;-0.522
15;i have new parts .;-0.522
15;where does smith have new parts ?;-0.522
15;by smith & nephew , it 's medical components .;-0.522
15;then smith & nephew recalls new components .;-0.522
15;when you read , mr. & nephew recalls new parts .;-0.522
16;tesco is torn apart as watchdog finds supermarket repeatedly withheld payments from suppliers;-0.775
16;tesco is torn apart as watchdog finds supermarket repeatedly saved from suppliers .;-0.775
16;i find tesco is torn apart as watchdog finds supermarket repeatedly denied payments from suppliers .;-0.775
16;tesco , tesco tore apart as watchdog found an interest in suppliers .;-0.775
16;that tesco is torn apart as watchdog has found payments from suppliers .;-0.775
16;tesco is torn apart , and tesco finds an increase in fees .;-0.775
16;i 'm sure tesco is divided into the area of security .;-0.775
16;where does tesco find an application from suppliers ?;-0.775
16;in tesco , tesco is torn apart as watchdog finds an application of suppliers .;-0.775
16;also tesco is torn apart as watchdog finds the return of data .;-0.775
16;as tesco finds the use of tesco , tesco has found a breakdown of fees .;-0.775
17;is trouble brewing at legal & general group plc and aviva plc;-0.271
17;problem is sunday and friday plc .;-0.271
17;is trouble with al and aviva plc .;-0.271
17;brake brake .;-0.271
17;that problem is september & aviva plc .;-0.271
17;problem is in july & aviva plc , and friday plc .;-0.271
17;i have a problem with plc & aviva plc .;-0.271
17;where do you have sunday and friday plc ?;-0.271
17;in spanish and june plc , it is friday plc .;-0.271
17;here it is sunday and friday plc .;-0.271
17;that problem is september & aviva plc , it is friday plc .;-0.271
18;here's my 10-point plan to make tesco great again;0.09
18;there 's my 10-point plan to make tesco great .;0.09
18;i 'm a 10-headed plan to make tesco .;0.09
18;here 's my 10-point plan to make tesco great .;0.09
18;i want to make tesco great .;0.09
18;this is my 10-point plan , and it 's going to be tesco again .;0.09
18;i have a 10-point plan to make tesco .;0.09
18;how do you make tesco great ?;0.09
18;in fact , it 's a 10-point plan to make tesco .;0.09
18;then there 's my 10-point plan to make tesco great .;0.09
18;when you make tesco , it 's my 10-point plan .;0.09
19;schroders posts fy profit beat, replaces ceo and chairman in board shake-up;0.052000000000000005
19;mr. schroders post office replaces ceo and chairman of board management .;0.052000000000000005
19;has beat-up and chairman of board beat-up .;0.052000000000000005
19;schroder jobs force beater , ceo director and chairman of board management .;0.052000000000000005
19;that supply of power supply is beaty and chairman of board management .;0.052000000000000005
19;mr. schroders are beater , and he replaces ceo of board management .;0.052000000000000005
19;i have an advantage in charge of beat-up .;0.052000000000000005
19;where does today replace the number of beat-up ?;0.052000000000000005
19;by brake posts , he replaces c.t. and chairman of board control .;0.052000000000000005
19;then mr. schroders replace ceo and chairman in board management .;0.052000000000000005
19;if anyone takes charge , he replaces ceo and chairman of board control .;0.052000000000000005
20;bp seeks to get back some gulf oil spill business payouts;0.18100000000000002
20;bp wants to return the brake oil spill .;0.18100000000000002
20;i want to return a lot of gulf oil spill stores .;0.18100000000000002
20;bp calls for the return of the spanish oil .;0.18100000000000002
20;that pressure wants to return the capitol oil store store payouts .;0.18100000000000002
20;bp wants to return the brake oil spill , and the pressure is to get the money .;0.18100000000000002
20;i have a job for the return of the spanish oil .;0.18100000000000002
20;why do n't you get a lot of mr. bp oil ?;0.18100000000000002
20;in fact , bp wants to return the oil of the spanish oil industry .;0.18100000000000002
20;then bp wants to return the spanish oil industry .;0.18100000000000002
20;when bp wants to return the oil , bp wants to return the spanish oil .;0.18100000000000002
21;can standard chartered plc, bp plc & burberry group plc keep charging;0.0
21;prof. plcu & al burberry keep charging .;0.0
21;keep charging pl .;0.0
21;prof. plcu , september plc & burberry group plc .;0.0
21;i 'm going to keep charging .;0.0
21;prof. plcina & al shall be charging , and al;0.0
21;i can keep charging .;0.0
21;how do you want to keep charmer plcin ?;0.0
21;for mr. plcin & al burberry group , it can keep charging .;0.0
21;also plcin plcu & ski keep keep charging .;0.0
21;when chartered plcu & al burberry keep charging , it can keep charging .;0.0
22;update 1-bp reports worst annual loss in at least 20 years, cuts more jobs;-0.9890000000000001
22;you will update the worst loss of at least 20 years .;-0.9890000000000001
22;update the biggest loss of at least 20 years .;-0.9890000000000001
22;update the report on fbp , the worst year in at least 20 years , cuts of work .;-0.9890000000000001
22;because today is the worst loss of at least 20 years .;-0.9890000000000001
22;you update the worst loss of the report of at least 20 years , and it is more successful .;-0.9890000000000001
22;i will update the biggest loss of at least 20 years .;-0.9890000000000001
22;when will you update the worst annual loss of at least 20 years ?;-0.9890000000000001
22;for at least 20 years , the report on correction will be completed in at least 20 years .;-0.9890000000000001
22;here you will update the worst loss of at least 20 years .;-0.9890000000000001
22;if you update the biggest loss of at least 20 years , it is more successful .;-0.9890000000000001
23;insurers: admiral blows hot and cold but aviva soars pre-friends life merger;0.053
23;admiral shells hot and cold is aviva sobriety merger .;0.053
23;prepare a life merger hot and cold .;0.053
23;admiral blows hot and cold , but aviva sobriety merger .;0.053
23;while admiral wounds hot and cold is aviva sobriety merger .;0.053
23;admiral shells hot and cold is cold , but aviva soon is april lifetime merger .;0.053
23;i have a merger for life .;0.053
23;where does admiral aviva live and cool aviva sobriety merger ?;0.053
23;in april a. admiral , a lot of heat is april lifetime merger .;0.053
23;here it is dr. admiral .;0.053
23;if admiral is hot and cold , it 's april lifetime merger .;0.053
24;l&g still paying price for dividend cut during crisis, chief says;-0.33799999999999997
24;l.g. is still paying price for dividend cut during crisiske .;-0.33799999999999997
24;take care of dividend reduction in crisiske .;-0.33799999999999997
24;l' g for dividend reduction in crisiske .;-0.33799999999999997
24;i 'm paying price for dividend cut during crisiske .;-0.33799999999999997
24;l.g. is still paying price for dividend cut during crisisket , and the boss says .;-0.33799999999999997
24;i will still pay price for dividend cut during crisiske .;-0.33799999999999997
